unitid,chronname,city,state,level,control,basic,hbcu,flagship,long_x,lat_y,site,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,exp_award_percentile,ft_pct,fte_value,fte_percentile,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,grad_100_value,grad_100_percentile,grad_150_value,grad_150_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,similar,state_sector_ct,carnegie_ct,counted_pct,nicknames,cohort_size
101028,Chattahoochee Valley Community College,Phenix City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,NULL,NULL,-85.031485,32.42391,www.cv.edu,1837,13.6,15.9,16.5,60303,42194,37780,85,57.3,1431,20,NULL,NULL,4316,62,36,5,7.2,37,13.4,23,61.2,89,51.6,23,26.7,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226107|151096|179539|129543|234711|210155|210234|171395|191612|203678|139968|246813|138691|195988|168607|172307|139250|199908|220057|382911,25,289,40.2|10,NULL,276
101073,Concordia College (Ala.),Selma,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,X,NULL,-87.023531,32.42443,www.ccal.edu/,600,12.3,17.8,22.5,105461,92268,101725,72,90.5,515,20,NULL,NULL,4746,8,NULL,NULL,9.8,4,13.9,2,83.6,97,41,2,61.8,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,228486|230621|404806|438179|104090|189413|242981|104364|241836|241304|188465|367909|137801|241720|121381|420006|230630|134149|445355|438902,16,343,74.5|07,NULL,122
101116,South University at Montgomery,Montgomery,Alabama,4-year,Private for-profit,Baccalaureate/Associates Colleges,NULL,NULL,-86.216488,32.342684,southuniversity.edu,599,15,29.1,24.6,76191,17406,38763,81,51.9,577,49,NULL,NULL,4920,70,NULL,NULL,5.3,10,5.3,1,71.3,59,19.4,1,14.6,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,136288|445355|438902|260293|144883|390701|206817|134149|230630|121381|153418|420006|133465|148335|260910|137801|241720|407285|367909|188465,9,124,23.0|07,NULL,19
101143,Enterprise State Community College,Enterprise,Alabama,2-year,Public,Associates--Public Rural-serving Medium,NULL,NULL,-85.836956,31.297496,www.escc.edu,2333,17.4,15.9,16.5,45911,42194,37780,65,56.5,2101,33,NULL,NULL,4936,80,428,37,8.3,44,12.9,21,51.2,74,54.1,33,41.6,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,199485|164775|444954|154642|148672|155098|199634|156790|220400|162168|198710|175263|192022|206996|238397|190053|140085|219879|154059|127617,25,289,43.6|10,NULL,520
101161,Faulkner State Community College,Bay Minette,Alabama,2-year,Public,Associates--Public Suburban-serving Multicampus,NULL,NULL,-87.779758,30.852045,www.faulknerstate.edu,4362,11.8,15.9,16.5,55426,42194,37780,80,59,3703,55,NULL,NULL,4817,76,NULL,NULL,9.5,50,10,10,48.9,68,52.1,25,38.1,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157438|139986|126863|136400|105206|199494|177250|198622|226204|167312|170240|434672|244437|199786|225308|177676|153630|173708|160719|448637,25,99,54.6|10,NULL,1043
101189,Faulkner University,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,NULL,NULL,-86.21641,32.384181,www.faulkner.edu,2617,21.5,17.8,22.5,52010,92268,101725,23,68.9,2658,78,NULL,NULL,6697,15,5494,18,10.6,5,22.9,6,58.2,85,50,6,42.4,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,153278|228325|181604|141167|440466|245953|110051|203757|150145|180522|154590|162210|219204|152381|192192|138275|161563|130183|202611|156365,16,343,49.3|07,NULL,293
101240,Gadsden State Community College,Gadsden,Alabama,2-year,Public,Associates--Public Rural-serving Large,X,NULL,-85.991299,33.991866,www.gadsdenstate.edu,5797,14.5,15.9,16.5,54629,42194,37780,79,54.9,4650,63,NULL,NULL,4849,77,649,46,7.4,38,14.4,27,60,88,55.9,42,46.3,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150978|167376|203155|145682|151005|101286|127884|236692|157711|193283|205841|104160|153311|115861|101295|226578|169275|102067|209940|181640,25,128,59.4|10,NULL,1523
101286,George C. Wallace Community College at Dothan,Dothan,Alabama,2-year,Public,Associates--Public Rural-serving Medium,NULL,NULL,-85.46355,31.316086,www.wallace.edu,4686,17.1,15.9,16.5,30885,42194,37780,30,49,3611,53,NULL,NULL,4941,80,33,4,2.3,5,14.9,28,55.5,81,56,42,59.8,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127884|150978|157711|203155|167376|104160|145682|151005|236692|102067|193283|205841|153311|115861|101295|226578|209940|169275|176178|181640,25,289,53.7|10,NULL,953
101295,Wallace State Community College at Hanceville,Hanceville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,NULL,NULL,-86.781745,34.07341,www.wallacestate.edu,5281,18.8,15.9,16.5,42870,42194,37780,58,55.9,4486,62,NULL,NULL,4815,76,NULL,NULL,11.9,61,19.5,47,50.2,70,63.7,77,33.4,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,226578|193283|169275|209940|153311|115861|181640|224350|236692|209038|222576|203155|137281|167376|205841|170444|151005|219824|183655|150978,25,289,49.5|10,NULL,1086
101301,Wallace Community College at Selma,Selma,Alabama,2-year,Public,Associates--Public Rural-serving Medium,NULL,NULL,-87.01324,32.445611,www.wccs.edu,1745,23.8,15.9,16.5,43923,42194,37780,61,61.2,1574,23,NULL,NULL,4952,80,NULL,NULL,10.6,55,24.8,66,76.9,98,53.1,29,48.2,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140304|226134|176008|176178|102067|175786|104160|127884|157711|101286|150978|203155|167376|145682|151005|236692|193283|205841|153311|115861,25,289,51.4|10,NULL,415
101365,Herzing University at Bimingham,Birmingham,Alabama,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,NULL,NULL,-86.832299,33.468105,www.herzing.edu/birmingham,320,50,29.1,24.6,24343,17406,38763,13,50,338,21,NULL,NULL,3781,19,NULL,NULL,0,0,22.2,41,63.7,37,50,38,30.8,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140340|381909|165884|245342|235529|116040|433536|443526|366650|142337|369084|251251|407063|134909|414568|413848|153427|176637|116475|437927,9,343,60.6|07,NULL,9
101435,Huntingdon College,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,NULL,NULL,-86.285313,32.350939,www.huntingdon.edu,1110,22.2,17.8,22.5,76919,92268,101725,49,81.3,1078,39,999,28,11447,36,41486,73,30.4,30,43.2,27,43,62,62,18,36.6,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,128391|231581|228981|157076|155937|215275|218724|441937|167288|204185|237969|203128|127185|199962|232025|196237|409698|198950|233718|213668,16,343,72.0|07,NULL,257
101462,J.F. Drake State Technical College,Huntsville,Alabama,2-year,Public,Associates--Public Rural-serving Small,X,NULL,-86.573817,34.772116,www.drakestate.edu,1383,19.3,15.9,16.5,86504,42194,37780,96,45.9,921,9,NULL,NULL,3385,27,NULL,NULL,15.4,72,15.4,30,58.7,86,42.3,5,37,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,217989|102313|175519|223922|180151|160001|161077|155201|420556|200341|231873|107521|160843|420723|158307|227687|160694|155487|420440|233037,25,111,26.5|10,NULL,228
101480,Jacksonville State University,Jacksonville,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,NULL,NULL,-85.766644,33.822128,www.jsu.edu/,7588,18.1,18.8,21.5,51692,75743,66436,34,76.2,6856,53,1036,57,6289,57,1488,18,10.1,16,30.8,18,46.1,74,71.1,40,65.2,55,2010,8.5,2.6,42.1,16.4,32,9.5,11.3,13.8,46.4,4.3,16.1,8.9,54.2,7.1,6.7,7.6,228529|419509|228431|224147|372222|159993|139366|172051|406015|434964|206695|113607|420042|405997|126827|217776|219949|416962|217235|194958,13,386,63.2|07,NULL,1252
101499,Jefferson Davis Community College,Brewton,Alabama,2-year,Public,Associates--Public Rural-serving Small,NULL,NULL,-87.085829,31.101995,www.jdcc.edu,1091,20.1,15.9,16.5,40726,42194,37780,54,56.6,935,10,NULL,NULL,4363,64,344,33,13.6,68,29.5,80,52.8,77,51.8,24,48.6,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,199625|169992|142179|198905|155052|158088|180373|160366|141307|219189|162609|203331|158583|160560|366447|198084|136145|107974|232052|102076,25,111,50.8|10,NULL,264
101505,Jefferson State Community College,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,NULL,NULL,-86.707387,33.652439,www.jeffstateonline.com,8542,15.8,15.9,16.5,32495,42194,37780,34,33.8,6041,74,NULL,NULL,3989,52,196,20,1.8,3,6.5,2,35.8,35,52.4,26,32.1,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,130916|105428|232414|236513|117867|113096|179113|125471|117247|120421|105145|104708|117724|114266|181303|122339|144184|227766|123527|117690,25,125,33.6|10,NULL,1301
101514,Calhoun Community College,Tanner,Alabama,2-year,Public,Associates--Public Rural-serving Large,NULL,NULL,-86.949131,34.65428,www.calhoun.edu,11186,12.8,15.9,16.5,32165,42194,37780,34,38,7911,82,NULL,NULL,4589,70,NULL,NULL,6.2,32,13.3,22,40.3,46,57.5,49,30,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,209074|154572|147916|146348|238759|229504|142559|166823|146685|153445|143279|134343|170550|170541|384342|173461|153737|123217|148937|137759,25,128,40.9|10,NULL,1432
101541,Judson College (Ala.),Marion,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,NULL,NULL,-87.316127,32.630526,www.judson.edu,347,14.5,17.8,22.5,112204,92268,101725,75,75.5,343,13,1023,37,19910,78,44004,75,38,42,40.5,23,47.9,72,59.7,14,45.9,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237181|230825|148849|434414|164571|214786|155511|220589|154749|190248|161341|214801|420352|239512|204802|191676|230047|230940|160959|199698,16,252,78.2|07,NULL,79
101569,Lawson State Community College,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,X,NULL,-86.890234,33.451673,www.lawsonstate.edu,3028,13.5,15.9,16.5,47256,42194,37780,67,59,2695,42,NULL,NULL,4127,57,NULL,NULL,18.4,81,18.5,43,68.2,95,52.5,27,39.2,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227854|102030|190585|178785|161864|172635|190521|179308|190530|144157|151087|221485|144175|179292|218113|246354|144209|121363|135391|184481,25,125,53.6|10,NULL,1044
101587,University of West Alabama,Livingston,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,NULL,NULL,-88.186077,32.59244,www.uwa.edu,1999,15.3,18.8,21.5,40841,75743,66436,15,84.8,1744,13,950,19,4474,13,97,2,17.9,38,29.8,15,56,89,57.8,8,50.8,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,220631|230889|164447|245892|444723|212771|211556|209108|215691|448284|105367|148405|211583|224545|438382|245838|208488|114813|211431|184773,13,386,58.6|07,NULL,285
101602,Lurleen B. Wallace Community College,Andalusia,Alabama,2-year,Public,Associates--Public Rural-serving Small,NULL,NULL,-86.452262,31.322947,www.lbwcc.edu,1570,20.9,15.9,16.5,35010,42194,37780,40,61.9,1338,18,NULL,NULL,4822,76,NULL,NULL,13.2,66,20.6,52,57.5,85,57,47,54.8,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106883|219480|210270|107974|198084|101949|136145|159692|199449|203331|428392|219189|158583|199625|101499|169992|142179|198905|155052|158088,25,111,52.7|10,NULL,433
101648,Marion Military Institute,Marion,Alabama,2-year,Public,Associates--Public Rural-serving Small,NULL,NULL,-87.317998,32.622359,www.marionmilitary.edu,418,26.1,15.9,16.5,123613,42194,37780,98,98.3,422,3,1040,100,9624,100,6554,97,23.1,88,24.9,67,44.2,56,38.1,2,75,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155177|432524|195784|213774|216551|188687|202912|126410|190956|165264|195191|188678|192961|130448|439899|190451|189811|161022|179919|149019,25,111,81.7|10,NULL,229
101675,Miles College,Fairfield,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,X,NULL,-86.908605,33.481306,www.miles.edu,1666,12,17.8,22.5,115329,92268,101725,76,94.7,1681,59,NULL,NULL,6699,15,10086,34,6,2,21.6,5,82.3,97,54.8,10,77.7,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107600|102270|106306|177551|198862|220604|133979|233499|133526|206491|229887|218919|217721|199582|227429|228884|106412|218399|199643|207209,16,343,98.1|07,NULL,486
101693,University of Mobile,Mobile,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,NULL,NULL,-88.128934,30.793247,www.umobile.edu,1481,21.7,17.8,22.5,51098,92268,101725,21,84.9,1341,48,1058,51,8727,23,14086,43,32.9,34,49.3,39,50.3,77,77.3,56,58.2,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180258|402615|367884|226471|187648|440536|152336|150172|432241|117627|438601|438416|207324|224402|119173|157793|219718|106485|205203|110361,16,343,63.4|07,NULL,207
101709,University of Montevallo,Montevallo,Alabama,4-year,Public,Masters Colleges and Universities--medium programs,NULL,NULL,-86.865099,33.10625,www.montevallo.edu,2618,15.9,18.8,21.5,88163,75743,66436,84,89.8,2455,20,1070,65,7109,72,5870,62,23.8,55,44.9,46,41.4,61,73.7,49,57.6,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,225247|178624|181215|240462|221768|150066|107071|215114|176628|214069|115755|163462|134945|137847|240471|168786|204936|240426|215442|129215,13,169,98.2|07,NULL,483
101736,Northwest-Shoals Community College,Muscle Shoals,Alabama,2-year,Public,Associates--Public Rural-serving Medium,NULL,NULL,-87.67733,34.739567,www.nwscc.edu,3854,16.3,15.9,16.5,33524,42194,37780,37,47.7,2702,42,NULL,NULL,3729,40,278,27,2.2,5,12.7,20,52.3,77,52.6,28,50.3,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,199838|198817|142443|146278|150996|157331|164313|184205|154378|106980|178217|204422|233019|232788|138558|151069|148821|168883|191302|443492,25,289,51.5|10,NULL,834
101879,University of North Alabama,Florence,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,NULL,NULL,-87.680999,34.80658,www.una.edu,5881,17.4,18.8,21.5,48127,75743,66436,27,81.5,5292,43,1028,50,4620,15,4290,51,12.3,20,32.2,20,41.9,64,70.8,40,68.9,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138789|149772|159717|156620|157951|225627|102094|141334|240417|155061|106458|187444|217934|227881|216010|110565|185590|234827|130776|196130,13,386,59.6|07,UNA,1023
101897,Northeast Alabama Community College,Rainsville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,NULL,NULL,-85.911664,34.545471,www.nacc.edu,2834,23.7,15.9,16.5,18843,42194,37780,8,51.2,2409,38,NULL,NULL,4890,79,33,4,9.5,50,24,63,62.8,91,61.4,67,36,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,175573|175643|171234|218025|179645|199926|366465|102429|207050|107327|179715|248776|175810|151078|141255|140678|237817|140599|222822|218487,25,289,54.6|10,NULL,671
101912,Oakwood University,Huntsville,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,X,NULL,-86.661628,34.756628,www.oakwood.edu,1861,16.9,17.8,22.5,86114,92268,101725,57,95.2,1777,61,924,9,6868,16,5665,19,18.8,12,36.8,16,50.7,78,78.8,60,76.9,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157058|243665|106412|199582|227429|199643|133526|206491|233499|207209|220604|133979|234164|106306|101675|107600|102270|177551|198862|228884,16,343,80.2|07,NULL,451
101949,Alabama Southern Community College,Monroeville,Alabama,2-year,Public,Associates--Public Rural-serving Small,NULL,NULL,-87.326352,31.488925,www.ascc.edu,1349,19.5,15.9,16.5,52935,42194,37780,77,65.7,1124,13,NULL,NULL,4750,75,NULL,NULL,17.1,77,23.4,61,56,82,56.7,46,36.8,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106883|428392|219480|101602|199449|210270|198084|136145|107974|159692|219189|203331|445018|180081|158583|139621|101499|199625|169992|198640,25,111,63.1|10,NULL,432
101958,Prince Institute-Southeast,Montgomery,Alabama,2-year,Private for-profit,Associates--Private For-profit,NULL,NULL,-86.162213,32.383091,princeinstitute.edu,102,9,3.2,32.8,50052,24274,24795,88,100,133,5,NULL,NULL,4221,45,NULL,NULL,15.8,17,25.4,6,64.5,37,83.3,88,80,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,517,19.0|10,NULL,114
101994,Reid State Technical College,Evergreen,Alabama,2-year,Public,Associates--Public Rural-serving Small,NULL,NULL,-86.964486,31.46071,www.rstc.edu,517,25,15.9,16.5,36428,42194,37780,43,50.3,673,6,NULL,NULL,4162,57,NULL,NULL,19,82,34.3,89,70.1,96,48.8,14,66.7,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,161484|140997|107549|127778|414911|368911|141006|217837|430795|159984|198640|218955|180081|445018|139621|428392|160384|199449|101949|219480,25,111,35.9|10,NULL,105
102030,Bishop State Community College,Mobile,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,X,NULL,-88.056982,30.693972,www.bishop.edu,3896,11.3,15.9,16.5,80555,42194,37780,95,55.7,2822,44,NULL,NULL,4061,54,53,6,7.2,37,11,13,63.5,92,41.2,4,53.8,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227854|101569|144209|246354|121363|135391|179292|184481|440305|144175|158662|218353|224642|190673|190628|190619|198260|218113|177995|144166,25,125,36.8|10,NULL,556
